Plant_ID,Sp_Code,Scientific_Name,Native_Status,Growth_Habit,Perenniality,Recorder,Collection_Date,Plot,Block,Shelter,Plot_number,Population,Treatment,Flower_Count,Flower_1_g,Flower_2_g,Flower_3_g,Flower_4_g,Flower_5_g,Flower_6_g,Flower_7_g,Flower_8_g,Flower_9_g,Flower_10_g,Veg_Mass,fl_average,total_fl_mass,Veg_Mass_ln,total_fl_mass_ln
H3.AMSMEN.1,AMSMEN,Amsinckia menziesii,Native,Forb,Annual,LS,4/13/23,H3,3,H,3,WWP,Control,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5128,0.0047599999999999995,0.009519999999999999,-0.6678693733756768,-4.654360430178863
F2.AVEBAR.1,AVEBAR,Avena barbata,Non-native,Grass,Annual,LS,8/4/23,F2,1,F,2,WWP,Control,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,0.013262857142857144,0.3050457142857143,-0.5447271754416722,-1.1872936307020643
F6.AVEBAR.1,AVEFAT,Avena barbata,Non-native,Grass,Annual,MR,6/7/23,F6,1,F,6,SEDG,Control,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.69,0.035106,2.0712539999999997,0.9895411936137477,0.7281542209577363
G1.BRODIA.1,BRODIA,Bromus diandrus,Non-native,Grass,Annual,MR,5/23/23,G1,2,G,1,BORR,Control,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.34,0.005629238083333333,0.9682289503333333,0.85015092936961,-0.03228670073236083
I7.BRODIA.1,BRODIA,Bromus diandrus,Non-native,Grass,Annual,MR,5/23/23,I7,4,I,7,MCL,Drought,1075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.49,0.0052272143,5.6192553725,2.138889000323256,1.7261991591307884
C1.BROHOR.1,BROHOR,Bromus hordeaceaus,Non-native,Grass,Annual,JBL,5/17/23,C1,3,C,1,MCL,Drought,501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82,0.001626,0.8146260000000001,0.598836501088704,-0.2050261667716533
F1.BROHOR.1,BROHOR,Bromus hordeaceaus,Non-native,Grass,Annual,AS,NA,F1,1,F,1,ANGELO,Control,896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.92,0.0013450238,1.2051413248,1.366091653802371,0.1865968420573245
I2.BROHOR.1,BROHOR,Bromus hordeaceaus,Non-native,Grass,Annual,AC,5/17/23,I2,4,I,2,SEDG,Drought,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,0.00151,0.20536000000000001,-1.0216512475319814,-1.582990742419252
I7.BROHOR.1,BROHOR,Bromus hordeaceaus,Non-native,Grass,Annual,JBL,5/17/23,I7,4,I,7,MCL,Drought,467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43,0.001626,0.7593420000000001,0.3576744442718159,-0.2753030101876208
J3.BROHOR.1,BROHOR,Bromus hordeaceaus,Non-native,Grass,Annual,JBL,5/17/23,J3,5,J,3,MCL,Drought,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21,0.001626,0.49593000000000004,0.1906203596086497,-0.7013204912491066
I7.BROMAD.1,BROMAD,Bromus madritensis,Non-native,Grass,Annual,MH,5/17/23,I7,4,I,7,MCL,Drought,490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,0.0011975,0.586775,-0.941608539858445,-0.5331138375745315
J6.BROMAD.1,BROMAD,Bromus madritensis,Non-native,Grass,Annual,MR,5/17/23,J6,5,J,6,MCL,Drought,796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,0.0011975,0.95321,-0.527632742082372,-0.047920042834820785
B3.CALMEN.1,CALMEN,Calandrinia menziesii,Native,Forb,Annual,MR,5/17/23,B3,2,B,3,SEDG,Drought,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.005384999999999999,0.03769499999999999,-2.659260036932778,-3.278227819318472
C2.CALMEN.1,CALMEN,Calandrinia menziesii,Native,Forb,Annual,MR,4/28/23,C2,3,C,2,SEDG,Drought,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0026,0.005384999999999999,0.016154999999999996,-5.952243833954701,-4.125525679705675
E6.CALMEN.1,CALMEN,Calandrinia menziesii,Native,Forb,Annual,MR,4/29/23,E6,5,E,6,SEDG,Control,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,NA,NA,-2.5257286443082556,NA
J5.CENMEL.1,CENMEL,Centaurea melitensis,Non-native,Forb,Annual,JBL,8/22/23,J5,5,J,5,SEDG,Drought,1168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.09,0.11169157142857143,130.45575542857142,4.079061705357583,4.871034130414558
D2.DAUPUS.1,DAUPUS,Daucus pusillus,Native,Forb,Annual,MR,8/3/23,D2,4,D,2,BORR,Control,485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21,4.44e-4,0.21534,0.1906203596086497,-1.535537104594566
F3.DAUPUS.1,DAUPUS,Daucus pusillus,Native,Forb,Annual,AS,5/31/23,F3,1,F,3,BORR,Control,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,4.44e-4,0.013764,-2.4079456086518722,-4.285698791046903
F8.DAUPUS.1,DAUPUS,Daucus pusillus,Native,Forb,Annual,JBL,8/3/23,F8,1,F,8,BORR,Control,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,4.44e-4,0.075924,-1.5606477482646683,-2.5780224390293895
C5.EROBOT.1,EROBOT,Erodium botrys,Non-native,Forb,Annual,JBL,5/10/23?+8/23/23,C5,3,C,5,BORR,Drought,322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.51,0.00648,2.08656,2.8039662579320366,0.7355167769264546
E7.EROBOT.1,EROBOT,Erodium botrys,Non-native,Forb,Annual,AT,7/19/23,E7,5,E,7,MCL,Control,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,0.00588,0.03528,-2.120263536200091,-3.3444390478435464
E8.EROBOT.1,EROBOT,Erodium botrys,Non-native,Forb,Annual,JBL,7/19/23,E8,5,E,8,BORR,Control,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.41,0.005926666666666667,1.2031133333333335,2.4344901638739844,0.18491264147729922
