Plant_ID,Sp_Code,Scientific_Name,Population,Flower,Flower_Mass_g,Veg_Mass
A1.ACMPAR.1,ACMPAR,Acmispon parviflorus,ANGELO,Flower_1_g,4e-4,1.3498000000000001
A1.ACMPAR.1,ACMPAR,Acmispon parviflorus,ANGELO,Flower_2_g,7e-4,1.3498000000000001
A1.ACMPAR.1,ACMPAR,Acmispon parviflorus,ANGELO,Flower_3_g,8e-4,1.3498000000000001
A1.ACMPAR.1,ACMPAR,Acmispon parviflorus,ANGELO,Flower_4_g,3e-4,1.3498000000000001
A1.ACMPAR.1,ACMPAR,Acmispon parviflorus,ANGELO,Flower_5_g,9e-4,1.3498000000000001
A1.ACMPAR.1,ACMPAR,Acmispon parviflorus,ANGELO,Flower_6_g,4e-4,1.3498000000000001
A1.ACMPAR.1,ACMPAR,Acmispon parviflorus,ANGELO,Flower_7_g,7e-4,1.3498000000000001
A1.ACMPAR.1,ACMPAR,Acmispon parviflorus,ANGELO,Flower_8_g,1e-4,1.3498000000000001
A1.ACMPAR.1,ACMPAR,Acmispon parviflorus,ANGELO,Flower_9_g,0.001,1.3498000000000001
A1.ACMPAR.1,ACMPAR,Acmispon parviflorus,ANGELO,Flower_10_g,0.001,1.3498000000000001
G6.ACMPAR.1,ACMPAR,Acmispon parviflorus,ANGELO,Flower_1_g,0.0011,0.0079
A1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_1_g,7.5e-5,0.0235
A1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_2_g,2.5e-5,0.0235
A1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_3_g,5e-5,0.0235
A1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_4_g,2.5e-5,0.0235
A1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_5_g,2e-4,0.0235
A1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_6_g,2.5e-4,0.0235
A1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_7_g,5e-5,0.0235
A1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_8_g,6.66667e-5,0.0235
A1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_9_g,2.5e-5,0.0235
